Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day_of_Month,Month
22,15.0,18.9,4.2,6.6,8.0,6,54.0,6,7,24.0,31.0,73.0,64.0,1005.2,1003.7,4.0,5.0,17.3,17.6,1,1,22,4.0
37,13.1,26.8,0.0,4.6,10.9,13,39.8,13,14,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,0,0,30,3.0
18,19.0,29.0,0.5599999999999999,11.0,5.6,3,59.0,3,3,39.0,22.0,50.0,38.0,1006.5,1003.4,3.6,2.4,24.2,27.2,0,0,10,12.0
34,18.1,32.2,0.0,2.1,11.64,4,30.0,3,4,0.0,17.0,99.0,51.0,1019.2,1014.6,5.8,1.8,20.9,31.6,0,0,27,3.0
37,13.9,19.6,14.0,1.2,5.4,11,50.0,12,8,17.0,22.0,90.0,64.0,1015.5600000000001,1018.4,7.0,6.0,15.5,19.1,1,0,25,10.0
2,0.6,11.9,0.2,1.48,6.16,13,22.0,12,7,2.0,11.0,99.0,54.0,1024.3,1021.8,1.0,2.0,2.8,11.5,0,0,27,6.0
32,21.8,36.2,0.0,12.2,11.9,0,61.0,5,7,31.0,30.0,14.0,12.0,1014.9,1013.2,6.0,0.0,31.2,33.4,0,0,22,11.0
47,17.7,22.3,0.2,3.6400000000000006,3.9,10,54.0,3,8,5.2,37.0,83.2,80.0,1012.8,1014.3,6.0,7.0,18.759999999999998,17.0,0,1,25,4.0
34,18.4,25.7,2.6,1.2,11.64,4,24.0,3,5,0.0,2.0,100.0,64.0,1026.5,1023.3,7.8,5.6,19.8,24.2,1,0,4,3.0
14,22.0,27.9,16.6,6.959999999999999,6.68,10,61.0,10,8,31.0,30.0,77.0,78.0,1021.4,1020.9,6.2,6.4,25.3,23.8,1,1,25,2.0
13,17.4,31.1,0.0,7.0,10.9,6,30.0,10,7,11.0,17.0,65.0,41.0,1015.9,1012.2,1.0,4.0,24.0,30.6,0,0,23,6.0
46,11.8,21.8,0.0,3.7600000000000002,9.68,13,31.0,12,15,13.0,19.0,66.0,69.0,1020.4,1019.3,3.0,4.2,17.4,19.5,0,0,8,12.0
7,16.8,26.9,0.0,7.0,8.0,0,33.0,8,2,6.0,15.0,66.0,54.0,1021.6,1019.0,1.0,6.0,23.9,25.4,0,0,27,3.0
10,9.1,23.8,0.6,4.6,10.1,15,69.0,14,7,15.0,35.0,33.0,19.0,1007.6,1003.3,0.0,4.0,16.6,22.4,0,0,13,10.0
17,-2.0,11.2,0.0,1.44,5.039999999999999,0,7.0,0,3,2.0,4.0,98.0,65.0,1017.7,1014.7,6.4,5.0,0.3,10.3,0,0,25,7.0
1,15.5,18.5,0.6,8.2,3.8,13,53.8,3,15,37.0,30.0,87.0,68.0,1011.9,1013.1,7.0,7.0,16.0,17.5,0,1,21,12.0
33,5.8,14.5,0.2,2.0,4.7,13,61.0,6,14,13.0,41.0,98.0,79.0,1025.8,1020.6,8.0,8.0,10.1,13.0,0,1,16,8.0
30,10.5,19.4,4.8,4.52,7.56,14,56.0,3,14,20.0,28.0,46.0,31.0,1015.6200000000001,1012.4,3.4,3.4,13.6,18.6,1,0,24,8.0
25,6.3,14.8,4.8,1.52,5.54,1,35.0,1,1,15.0,20.0,87.0,66.0,1017.8,1014.2,4.2,6.2,8.2,14.3,1,1,21,5.0
11,11.5,22.9,5.8,2.4,10.3,5,33.0,11,4,6.0,20.0,74.0,59.0,1009.8,1005.1,3.0,5.0,19.1,22.2,1,0,9,10.0
27,20.2,23.6,0.6,3.2,7.8,10,50.0,9,9,26.0,24.0,59.0,55.0,1012.7,1012.6,2.0,6.0,22.1,22.3,0,0,25,3.0
36,6.8,21.3,0.2,4.880000000000001,7.779999999999999,4,37.0,4,1,22.0,15.0,65.0,39.0,1024.92,1022.9799999999999,1.8,3.6,15.0,20.9,0,0,19,4.0
19,26.0,34.7,0.0,16.4,10.7,3,63.0,3,10,28.0,28.0,36.0,58.0,1005.6,1007.1,7.0,6.0,28.1,24.6,0,0,8,1.0
2,16.0,26.2,2.8,4.6,6.720000000000001,7,52.0,3,1,0.0,24.0,81.0,60.0,1011.1,1007.4,5.2,2.0,19.1,25.7,1,1,22,10.0
31,7.9,17.4,0.2,1.4,2.4,8,17.0,3,12,6.0,2.0,84.0,59.0,1026.1,1024.2,7.0,7.0,11.1,17.0,0,0,29,6.0
9,10.2,18.4,0.0,6.959999999999999,6.68,8,59.0,8,8,35.0,43.0,70.0,63.0,1018.9,1015.2,6.0,3.0,13.2,16.5,0,0,22,4.0
5,8.0,23.9,0.0,5.960000000000001,11.24,13,46.0,3,9,17.4,23.4,59.8,35.0,1018.76,1016.2599999999999,1.0,1.8,15.580000000000002,22.560000000000002,0,0,28,12.0
14,23.6,27.2,0.0,6.04,6.38,14,52.0,13,2,22.0,15.0,69.0,76.0,1014.5,1012.7,2.4,6.8,25.6,25.2,0,1,13,3.0
21,13.0,16.7,2.3200000000000003,1.6,3.6599999999999993,13,28.0,7,13,9.0,13.0,97.0,76.0,1015.7,1013.6,8.0,7.0,13.2,15.8,0,1,14,6.0
29,18.7,35.1,0.0,8.52,13.2,0,65.0,9,0,20.0,17.0,47.0,28.0,1010.9,1008.9,1.0,1.6,25.5,34.1,0,0,7,1.0
41,16.3,41.2,0.0,10.48,9.5,13,59.0,6,7,17.0,24.0,15.0,8.0,1007.0,1002.2,4.8,8.0,31.4,38.5,0,0,7,11.0
25,1.6,14.9,0.0,1.28,3.4799999999999995,15,30.0,3,11,0.0,17.0,99.0,80.0,1013.7,1012.5,7.4,6.4,7.4,11.2,0,0,22,8.0
14,14.9,24.5,0.5599999999999999,8.2,10.3,10,43.0,10,9,31.0,30.0,28.0,40.0,1019.8,1018.2,4.2,2.6,22.7,22.9,0,0,17,10.0
